lambda;EW;relDepth;ConvBS,
nm;0.1pm; ;m/s,
--------;----;-----;-------,
4668760;75;0.78;-203.6
4670478;60;0.69;-483.6
4672722;    ;0.3;-384.8
4674139;31;0.36;-311
4674472;72;0.69;-320.6
4674578;39;0.48;-964.4
4675956;18;0.24;-678.5
4678899;12;0.18;-591.5
4680534;47;0.51;-732.6
4681605;43;0.54;-461.5
4683422;    ;0.47;-472.8
4683871;22;0.27;-617.1
4684870;46;0.57;-411.4
4686336;16;0.2;-260.6
4688983;6;0.08;-598.3
4691451;51;0.59;-460.6
4691682;13;0.18;-394.4
4701473;52;0.59;-571.8
4702360;38;0.46;-376.6
4706265;58;0.64;-450.5
4706774;36;0.39;-288
4707616;6;0.1;-496.6
4708592;107;0.8;-167.2
4708805;65;0.64;-485.6
4715389;36;0.35;-627.7
4715510;22;0.23;-490
4718159;5;0.08;-674.3
4722321;47;0.48;-837.2
4727257;7;0.1;-165.1
4729869;73;0.71;-360
4730342;35;0.43;-511.1
4731000;45;0.39;-564.7
4734916;76;0.77;-298.1
4735422;30;0.35;-484.4
4737168;59;0.61;-455.7
4738960;38;0.38;-763.8
4741666;37;0.41;-616.1
4742396;33;0.38;-674.6
4742856;69;0.7;-377.6
4744265;10;0.12;-891
4746456;12;0.16;-322.3
4747128;69;0.68;-383.7
4751276;33;0.36;-557.2
4758909;54;0.59;-419.4
4768120;    ;0.31;-638.5
4773031;61;0.48;-106.8
4774138;88;0.74;426.5
4777403;29;0.29;-452
4780776;51;0.45;-500.5
4787295;30;0.3;-555.3
4788145;95;0.74;-324.9
4790096;72;0.65;-334.4
4790990;96;0.74;-303.5
4792082;10;0.1;-592.8
4792586;40;0.41;-639.3
4795302;9;0.09;-306.5
4799606;47;0.46;-526.8
4800073;35;0.37;-458.3
4800748;36;0.39;-435.2
4801471;19;0.19;-580.5
4801991;72;0.58;-398.6
4804222;73;0.61;-367.1
4805862;26;0.25;-657
4809053;60;0.52;-466.2
4809492;30;0.32;-530.6
4810024;    ;0.43;-661.1
4810482;17;0.16;-474.7
4811283;20;0.22;-552.6
4812373;16;0.15;452.2
4814458;24;0.25;-502.4
4816581;14;0.15;-757.8
4825514;94;0.65;-2262.2
4834078;68;0.59;-1272.2
4835858;28;0.37;-381.8
4837219;44;0.5;-445.8
4839436;9;0.13;-236.6
4839864;51;0.56;-375.9
4840897;55;0.63;-355.2
4843138;24;0.29;-531.9
4844497;67;0.64;-229.4
4845367;39;0.47;-387.2
4847002;36;0.45;-429.2
4850238;33;0.44;-493.7
4851024;16;0.16;-653.7
4857030;60;0.64;-360.2
4859601;8;0.25;-25.9
4860479;18;0.42;-383
4861099;108;0.85;-43.1
4863955;16;0.42;-744.7
4865002;48;0.65;-242.8
4870824;20;0.29;-488.6
4872679;228;0.88;10.6
4873289;45;0.53;-213.5
4873499;195;0.87;-17.9
4874268;10;0.14;-398.5
4875113;12;0.17;-513.6
4875715;18;0.27;-463.4
4876392;    ;0.35;-617.1
4877239;55;0.59;-405.8
4877550;8;0.07;-853.5
4883081;61;0.62;-400
4883507;70;0.66;-317.1
4886795;60;0.66;-355.8
4887697;68;0.67;-381.8
4888559;62;0.61;-564.3
4888731;18;0.19;-683.1
4892121;220;0.88;-1.4
4892858;312;0.89;23.9
4894225;44;0.52;-473.3
4897806;26;0.36;-505.4
4906502;30;0.33;-508.7
4909102;61;0.59;-398.1
4909401;37;0.35;-656.4
4909969;4;0.08;-95.4
4910754;66;0.6;-391.4
4911388;91;0.7;-304.8
4911697;79;0.66;-313.6
4911936;80;0.65;-354.7
4912901;24;0.26;-500.7
4913151;44;0.45;-545.8
4913870;10;0.11;-870.2
4918603;60;0.59;-425.7
4919386;53;0.53;-490.5
4920367;278;0.88;-78.7
4926144;101;0.75;-206.2
4926658;20;0.24;-793.9
4931692;82;0.6;-719.1
4934568;39;0.4;-216.7
4934718;97;0.68;-864.3
4935250;41;0.47;-305.6
4940193;119;0.81;-152.2
4940618;88;0.69;-485
4941065;96;0.8;-207.1
4947018;42;0.43;-510.5
4947769;113;0.75;-223.1
4951488;76;0.65;-364.5
4963299;26;0.28;-292.8
4963957;52;0.53;-399.3
4967475;114;0.79;-157.4
4967675;16;0.15;-1184.7
4969284;74;0.67;-304.4
4970084;46;0.51;-545.6
4971304;69;0.65;-377.4
4971883;51;0.55;-430.9
4972033;31;0.34;-576.8
